intent,text
promotions_discounts,kok harga di iklan sama di keranjang beda ya
refund_request,refund bisa ke LinkAja ga ya
payment_inquiry,payment link expired gmna dong
payment_inquiry,bayar pake kartu kredit bisa cicil 10% ga sih
refund_request,syarat pengembalian hp apa aja bang
technical_support,upload bukti transfer gagal terus nih
complaint,minta pertanggungjawaban atas barang penyok
product_service_info,printer cocok dipake outdoor ga sob
order_status,ini dikirim dari kota mana kak
complaint,uang udah kepotong tapi transaksi gagal kak
order_status,bisa request percepat pengiriman ga nih
promotions_discounts,diskon weekend mulai jumat apa sabtu nih
operating_hours_location,jam operasional customer service gan
refund_request,retur item bisa via TIKI ga sih
account_data,akun saya kenapa tiba-tiba di-suspend bang
complaint,minta pertanggungjawaban atas item rusak
operating_hours_location,bisa lihat barang langsung di store ga
product_service_info,bahan laptop ori atau bukan dong
cancellation_request,cara batal dari program cicilan berjalan bang
operating_hours_location,toko di Pondok Indah Mall Malang dimana sob
payment_inquiry,payment link expired gmna dong kak
refund_request,kapan refund pesanan saya cair dong
operating_hours_location,cabang NTT buka jam berapa nih
payment_inquiry,bayar pake transfer bank bisa ga dong
operating_hours_location,cabang Aceh buka jam berapa deh
operating_hours_location,buka pas anniversary ga untuk area Lombok
refund_request,minta uang balik untuk paket nih
shipping_information,estimasi JNE ke Batam berapa lama
cancellation_request,cara batal pre-order selimut yg belum rilis nih
shipping_information,cargo pengiriman murah buat barang banyak deh
cancellation_request,batalkan paket data saya min
complaint,ini beli baru kok dapetnya tas bekas bang
promotions_discounts,cara klaim promo payday sebelum habis
operating_hours_location,toko di ITC Mangga Dua Bandung dimana dong
account_data,akun di-ban padahal bukan saya yg pake bang
cancellation_request,batalin aja ya bang
refund_request,barang udah dikirim balik tapi uang belum cair bang
technical_support,udah update app masih error juga min
operating_hours_location,alamat lengkap toko di Bandung bang
cancellation_request,tiket pertandingan bisa dikembalikan ga
payment_inquiry,biaya admin berapa persen sob
promotions_discounts,ada diskon besar-besaran 12.12 ga bang
order_status,lacak resi GX8291 dong
payment_inquiry,ada kesalahan nominal di tagihan kak
product_service_info,ini item ini limited edition ya sob
payment_inquiry,transaksi gagal tapi keluar notif sukses sob
operating_hours_location,toko di Summarecon Mal Serpong Pekanbaru dimana gan
refund_request,proses refund produk berapa lama kak
product_service_info,ukuran earphone tersedia apa aja
cancellation_request,batalin pesanan saya dong nih
cancellation_request,ada biaya pembatalan ga untuk cloud storage bang
promotions_discounts,cara claim reward dari program referral min
refund_request,refund bisa ke rekening BRI ga nih
promotions_discounts,diskon 20% untuk gamepad ada ga
technical_support,tokopedia crash waktu buka pembayaran
product_service_info,mouse ini aman buat anak kecil
technical_support,gagal upload foto produk deh
order_status,cek kiriman AnterAja saya dong min
complaint,saya tidak puas sama makanan ini
refund_request,kapan refund hp saya cair gan
payment_inquiry,tagihan saya dobel ini gimana nih
payment_inquiry,minta invoice buat reimbursement kantor min
payment_inquiry,cara cek histori pembayaran dmn ya
product_service_info,dimensi vakum ini berapa ya bang
cancellation_request,kok di-cancel sistem padahal saya ga cancel deh
complaint,tolong tangani complaint saya tentang barang
account_data,cara setting two-factor authentication
refund_request,cara klaim refund pesanan yang baret
technical_support,aplikasi ini crash waktu buka pesanan
payment_inquiry,kena charge aneh di kartu kredit
promotions_discounts,voucher diskon ga bisa di-apply kenapa kak
cancellation_request,cancel koran digital gimana caranya sih
order_status,resi EXP1122 kok belum update sob
shipping_information,ada layanan packing premium buat barang mahal nih
product_service_info,ready warna lain buat tablet ga deh
product_service_info,ada program trade-in buat speaker gan
operating_hours_location,jam CS untuk area Manado berapa
product_service_info,AC cocok buat lama ga dong
account_data,cara aktifkan notifikasi untuk transaksi sob
order_status,paket udah di kota saya tapi belum dikirim nih
operating_hours_location,ada toko yg buka sampai jam 10 malam sih
shipping_information,bisa ganti alamat pengiriman setelah order bang
product_service_info,ini selimut buat pemula bisa ga sih
cancellation_request,tidak jadi pakai paket data mau cancel
account_data,update nama akun bisa ga bang
account_data,update username akun bisa ga dong
operating_hours_location,tukar barang offline bisa langsung ga sob
complaint,komplain soal laptop yg retak
product_service_info,berapa berat speaker ini ya gan
complaint,saya mau lapor laptop penyok
product_service_info,stok kompor masih ada gan
technical_support,error 429 waktu buka halaman beranda sob
complaint,komplain soal tas yg tidak berfungsi
promotions_discounts,ada diskon besar-besaran anniversary ga deh
refund_request,kondisi sepatu harus gimana biar bisa retur
shipping_information,estimasi JNE ke Pontianak berapa lama
account_data,cara ganti alamat email yg terdaftar deh
refund_request,kondisi paket harus gimana biar bisa retur sih
operating_hours_location,outlet Aceh buka hari Jumat ga
technical_support,aplikasi stuck di splash screen min
payment_inquiry,bayar pake BRImo bisa ga deh
refund_request,kapan refund pesanan saya cair gan
payment_inquiry,top up gagal tapi uang kepotong kak
technical_support,fitur favorit di lazada ga berfungsi
order_status,paket INV1023 hari ini nyampe ga
refund_request,refund lewat rekening BNI bisa ga gan
technical_support,aplikasi aplikasi ini force close mulu dong
refund_request,minta dikembalikan uang untuk sepatu
operating_hours_location,pusat service center terdekat dmn gan
order_status,apa yang terjadi kalo paket hilang ya
operating_hours_location,toko fisiknya deket stasiun ga
cancellation_request,cancel pertandingan yg belum dipakai
payment_inquiry,kok virtual account expired padahal belum bayar bang
refund_request,minta uang balik untuk sepatu min
shipping_information,estimasi real-time di app akurat ga deh
technical_support,shopee crash waktu buka pesanan
shipping_information,lacak kiriman GoSend kok sering delay sih
promotions_discounts,cara klaim promo harbolnas sebelum habis
operating_hours_location,cara menuju lokasi toko dari stasiun kereta kak
account_data,akun saya kenapa hilang data-nya nih
technical_support,kenapa verifikasi OTP ga masuk-masuk
shipping_information,drop off di agen lebih cepet drpd pickup ga kak
account_data,akun saya kenapa tidak bisa diakses kak
order_status,orderan di cancel sepihak sama seller sob
cancellation_request,cancel bus yg belum dipakai sob
refund_request,belum ada kabar refund udah 2 minggu kak
operating_hours_location,kantor cabang buka hari Sabtu ga nih
technical_support,loading terus pas mau chat seller
cancellation_request,orderan bisa di-cancel ga ya sih
order_status,kenapa seller belum masukin resi deh
shipping_information,kirim ke Semarang bisa pake Pos Indonesia ga dong
shipping_information,cara tracking Ninja ke Batam
promotions_discounts,diskon dari bank Danamon masih berlaku ga ya
order_status,cek resi massal bisa ga nih
account_data,cara ganti password akun gimana min
refund_request,toko bilang refund max 1 hari udah lewat min
promotions_discounts,bisa gabungin diskon toko sama diskon platform sob
account_data,cara amanin akun biar ga kena retas ya
refund_request,tas rusak pas pengiriman minta refund penuh sih
product_service_info,beli keyboard bisa grosir ga ada harga khusus bang
refund_request,refund paket ke OVO bisa bang
cancellation_request,ada biaya pembatalan ga untuk software min
product_service_info,beda versi lama sama baru ssd apa aja kak
refund_request,gimana cara balikin item bang
payment_inquiry,cara bayar pake ShopeePay gimana bang
cancellation_request,tiket bioskop bisa dikembalikan ga dong
account_data,cara ekspor data pembelian saya deh
payment_inquiry,kredit kepotong padahal ga ada transaksi ya
product_service_info,berapa berat produk ini ini ya min
operating_hours_location,alamat lengkap cabang Sulawesi apa
payment_inquiry,transfer dari bank lain berapa lama dong
product_service_info,beli speaker bisa grosir ga ada harga khusus bang
promotions_discounts,cara dapetin voucher gopay sih
complaint,minta pertanggungjawaban atas paket baret
product_service_info,microphone aman buat ibu hamil ga deh
refund_request,uang saya balik full ga bang
refund_request,uang saya balik full ga min
payment_inquiry,bayar lewat Kantor Pos bisa ga ya sob
cancellation_request,salah alamat mau cancel trus order ulang nih
product_service_info,ini gamepad buat pemula bisa ga bang
refund_request,syarat retur sepatu apa aja dong
account_data,settingan privasi letaknya dmn kak
promotions_discounts,cara dapet voucher dari rating driver sih
technical_support,cookies error clear cache masih ga bisa ya
technical_support,bug search di shopee sudah dilaporkan belum
technical_support,mau ganti no HP tp kode verifikasi ga nyampe kak
operating_hours_location,jam buka toko hari ini berapa gan
shipping_information,apakah JNE bisa same day ke Pekanbaru
order_status,kok ada tulisan pengiriman gagal bang
order_status,kenapa seller belum masukin resi nih
payment_inquiry,minta e-invoice buat laporan pajak min
technical_support,bug tracking di lazada sudah dilaporkan belum
product_service_info,detail mouse apa ya
order_status,cek kiriman GoSend saya dong gan
account_data,update metode bayar akun bisa ga ya
cancellation_request,cara batalkan subscription cloud storage berbayar deh
operating_hours_location,jadwal buka pas lebaran gimana dong
operating_hours_location,cabang Pekanbaru buka jam berapa sih
order_status,bisa reschedule waktu pengiriman ga
cancellation_request,mau stop langganan asuransi deh
technical_support,push notification spam padahal udah matiin dong
refund_request,brg dikembalikan tapi seller bilang ga terima
order_status,lacak resi 009283 dong sih
cancellation_request,minta batal karena ada info palsu dari seller min
cancellation_request,udah cancel di app tapi masih ditagih bang
complaint,foto beda jauh sama kondisi real hp ya
operating_hours_location,ada CS yg bisa ditemui langsung ga sob
account_data,kok tiba-tiba akun premium hilang min
complaint,saya minta kompensasi atas ketidaknyamanan ini gan
payment_inquiry,minta invoice buat reimbursement kantor bang
refund_request,brg dikembalikan tapi seller bilang ga terima kak
cancellation_request,pembatalan tiket bioskop bisa ga
product_service_info,perlu maintenance khusus buat powerbank ga
refund_request,pesanan rusak pas pengiriman minta refund penuh bang
account_data,tidak bisa daftar karena NIK sudah dipakai dong
cancellation_request,minta cancel tiket pertandingan yg sudah dipesan gan
promotions_discounts,cara dapetin voucher gopay kak
payment_inquiry,ada tulisan transaksi declined kenapa dong
promotions_discounts,promo buy 3 get 3 free ada ga gan
refund_request,retur pesanan bisa via GoSend ga
shipping_information,COD bayar ongkir bisa ga deh
technical_support,cara fix force close di tokopedia
operating_hours_location,toko di Lotte Shopping Avenue Bandung dimana min
refund_request,refund paket ke LinkAja bisa
shipping_information,minimal order untuk gratis ongkir berapa min
complaint,service buruk banget ga recommended
shipping_information,ongkir dari Bali ke Balikpapan range berapa sob
order_status,cek resi massal bisa ga bang
product_service_info,harga webcam berapa sekarang
technical_support,error code 429 pas submit order
shipping_information,rate AnterAja untuk 20 kg ke Pekanbaru
operating_hours_location,outlet Aceh buka hari Minggu ga
cancellation_request,batalin aja ya min
operating_hours_location,akses buat kursi roda ada ga di toko kak
complaint,minta pertanggungjawaban atas laptop baret
payment_inquiry,cek mutasi pembayaran saya bulan ini sob
refund_request,refund hp ke LinkAja bisa min
refund_request,kapan refund item saya cair kak
account_data,akun saya kenapa hilang data-nya dong
promotions_discounts,diskon premium untuk 11.11 berapa persen
promotions_discounts,promo ovo untuk hari belanja nasional ada ga
refund_request,prosedur refund di app ini ribet banget sih
order_status,estimasi pengiriman berapa hari sob
shipping_information,ekspedisi apa aja yg tersedia gan
cancellation_request,cancel kereta yg belum dipakai deh
account_data,update metode bayar akun bisa ga min
technical_support,reset password ga dapet emailnya deh
order_status,paket saya ada di Lombok belum
payment_inquiry,tidak ada opsi cicilan di bank BRI sih
order_status,udah 4 hari belum nyampe paketnya ya
technical_support,fitur live di grab ga berfungsi
shipping_information,cara tracking J&T ke Yogyakarta
complaint,makanan basi pas di delivery ini gimana sob
cancellation_request,pembatalan tiket bioskop bisa ga kak
technical_support,server aplikasi ini down atau gimana ini
account_data,akun saya kenapa tidak aktif sob
operating_hours_location,gerai reseller terdekat dari lokasi saya min
promotions_discounts,cara dapet voucher dari rating driver ya
complaint,saya mau lapor tas kotor
refund_request,kok refund saya kepotong 50% ini biaya apa sob
payment_inquiry,bayar pake kartu kredit bisa ga sob
refund_request,proses refund laptop berapa lama nih
cancellation_request,orderan bisa di-cancel ga ya nih
account_data,cara link akun media sosial ke akun belanja sob
shipping_information,bisa anterin pake gobox ga sob
promotions_discounts,bisa gabungin diskon toko sama diskon platform nih
operating_hours_location,cabang Balikpapan buka jam berapa gan
payment_inquiry,cicilan 10% buat lampu ring ada ga
complaint,komplain soal makanan yg basah
account_data,pin transaksi lupa gimana resetnya min
account_data,cara ekspor data pembelian saya bang
cancellation_request,batalin pesanan saya dong min
cancellation_request,ada biaya cancel untuk premium ga
complaint,packaging hancur dan basah kena hujan min
promotions_discounts,ada flash sale jam berapa nanti bang
technical_support,mau ganti no HP tp kode verifikasi ga nyampe sih
promotions_discounts,diskon korporat untuk gajian berapa persen
account_data,update password akun bisa ga ya
order_status,lacak resi EXP1122 dong min
operating_hours_location,bisa booking slot kunjungan ke toko ga sob
product_service_info,beda monitor A vs pro apa
product_service_info,stok mouse masih ada nih
complaint,ini barang penyok parah pas nyampe nih
cancellation_request,cara berhenti langganan paket premium
complaint,sepatu udah baret sejak unboxing kak
account_data,akun saya kenapa tidak bisa diakses sih
technical_support,kenapa lazada terus lemot
payment_inquiry,bayar pake COD bisa ga kak
operating_hours_location,outlet Surabaya buka hari Sabtu ga
complaint,minta pertanggungjawaban atas sepatu retak
promotions_discounts,ada promo cashback untuk pembayaran pakai Dana dong
payment_inquiry,cicilan 10% buat tripod ada ga
cancellation_request,minta cancel tiket pertandingan yg sudah dipesan
refund_request,belum ada kabar refund udah 1 minggu sob
shipping_information,ongkir JNE ke Medan berapa ya
order_status,brg di retur tanpa alasan jelas kenapa sob
technical_support,bug refund di aplikasi ini sudah dilaporkan belum
cancellation_request,cara berhenti langganan paket cloud storage kak
refund_request,retur tas bisa via Grab Express ga deh
promotions_discounts,ada cashback buat pengguna baru ga kak
shipping_information,apakah GoSend bisa same day ke Lombok
cancellation_request,hentikan langganan wifi bulan ini
technical_support,fitur ulasan di shopee ga berfungsi
payment_inquiry,invoice untuk ssd bisa dikirim ulang
technical_support,upload bukti transfer gagal terus sob
operating_hours_location,cabang Papua buka jam berapa dong
account_data,akun di-ban padahal bukan saya yg pake sob
operating_hours_location,lokasi gerai di Mall Kelapa Gading lantai berapa
promotions_discounts,promo shopee untuk hari belanja nasional ada ga
product_service_info,spek kasur lengkap ada ga
technical_support,aplikasi stuck di splash screen sih
cancellation_request,minta cancel tiket bus yg sudah dipesan deh
refund_request,syarat pengembalian tas apa aja deh
complaint,sepatu yg saya terima basah banget
operating_hours_location,sabtu minggu buka sampai jam berapa min
payment_inquiry,kok ga bisa apply paylater sih gan
shipping_information,J&T ke Medan berapa hari reguler
promotions_discounts,diskon 30% untuk router ada ga
payment_inquiry,cara bayar manual pake kartu debit gimana
payment_inquiry,kok virtual account expired padahal belum bayar nih
account_data,cara aktifkan notifikasi untuk transaksi gan
complaint,seller kirim sepatu tidak berfungsi ini gimana
payment_inquiry,cicilan 10% buat blender ada ga
product_service_info,review hp dari user lain bisa liat ga
order_status,lacak resi GX8291 dong dong
account_data,verifikasi foto profil gagal ini gimana
operating_hours_location,gerai reseller terdekat dari lokasi saya kak
complaint,sudah lapor tapi tidak ada tindak lanjut gan
promotions_discounts,promo lama masih available ga nih
complaint,tidak ada perlindungan konsumen di sini sob
account_data,lupa email yg dipake buat daftar ya
promotions_discounts,diskon 10% untuk vakum ada ga
technical_support,kenapa verifikasi OTP ga masuk-masuk min
technical_support,fitur tracking di gojek ga berfungsi
account_data,cara setting two-factor authentication bang
technical_support,app ovo error pas buka pesanan
product_service_info,detail kasur apa ya
refund_request,bisa refund sepatu tanpa kirim balik ga
order_status,status pengiriman error mulu di app min
order_status,paket BLJ4421 hari ini nyampe ga
payment_inquiry,cara bayar manual pake m-banking gimana
product_service_info,hp aman buat ibu hamil ga deh
complaint,sudah lapor tapi tidak ada tindak lanjut sih
cancellation_request,minta batal kereta yg sudah dibayar
promotions_discounts,bisa pake lebih dari 2 kupon ga ya
product_service_info,cara klaim garansi produk ini gimana nih
refund_request,cara klaim refund barang yang lecet
account_data,data KTP saya disalahgunakan orang sih
refund_request,refund dong paketnya ga sesuai gan
complaint,barang expired pas saya terima sih
order_status,resinya ga update dari 2 hari lalu kak
promotions_discounts,cara dapetin voucher gofood ya
product_service_info,AC cocok buat baru ga kak
refund_request,refund bisa ke rekening BNI ga dong
shipping_information,ongkir ke Kalimantan berapa ya sih
order_status,bisa reschedule waktu pengiriman ga deh
promotions_discounts,voucher udah expired padahal baru dapet nih
order_status,pesanan saya udah sampe mana deh
account_data,cara link akun media sosial ke akun belanja dong
cancellation_request,cancel otomatis karena batas waktu bayar lewat gan
promotions_discounts,promo ovo untuk anniversary ada ga
product_service_info,ready warna lain buat charger ga bang
technical_support,cookies error clear cache masih ga bisa deh
order_status,udah 5 minggu barang ga nyampe nih
promotions_discounts,diskon setia untuk anniversary berapa persen
account_data,salah input nama pas daftar bisa diubah ga ya
promotions_discounts,bisa pake lebih dari 2 kupon ga dong
shipping_information,SiCepat tersedia di Kalimantan ga
refund_request,refund pesanan ke Dana bisa ya
technical_support,dark mode ga berfungsi di app bang
product_service_info,ukuran setrika tersedia apa aja
payment_inquiry,ada kesalahan nominal di tagihan bang
payment_inquiry,cara bayar manual pake cek gimana
product_service_info,beli kompor dapet bonus apa ga
account_data,settingan privasi letaknya dmn sob
order_status,minta update resi 009283 dong nih
payment_inquiry,saldo kepotong tapi mutasi ga muncul gan
technical_support,fitur search di tiket ga berfungsi
payment_inquiry,udah dp tapi pelunasan dibatalin sistem deh
technical_support,riwayat transaksi ilang mendadak bang
shipping_information,pengiriman SiCepat ke Medan aman ga
cancellation_request,batalkan gym saya deh
shipping_information,GoSend ke Balikpapan berapa hari reguler
product_service_info,stok microphone masih ada ga ya
promotions_discounts,voucher diskon ga bisa di-apply kenapa
shipping_information,ekspedisi recommended buat brg pecah sob
product_service_info,ada tutorial pemakaian kompor ga sob
account_data,akun saya kenapa kena banned dong
shipping_information,ongkir dari Pekanbaru ke Bandung range berapa sob
cancellation_request,hapus orderan yg belum dibayar nih
order_status,cek kiriman Pos Indonesia saya dong bang
order_status,status order TRX2938 masih pending terus kak
product_service_info,laptop sudah bersertifikat halal belum
complaint,seller ga profesional barang ga sesuai deskripsi kak
promotions_discounts,voucher diskon ga bisa di-apply kenapa nih
technical_support,app tokopedia error pas buka keranjang
technical_support,bug search di aplikasi ini sudah dilaporkan belum
technical_support,shopee crash waktu buka beranda
refund_request,minta percepat proses refund saya nih
shipping_information,apakah AnterAja bisa same day ke Batam
order_status,resinya ga update dari kemarin sore deh
order_status,tracking EXP1122 invalid nih
operating_hours_location,outlet Manado buka hari Senin ga
complaint,produk tidak berfungsi sejak hari pertama bang
technical_support,ga bisa login padahal password bener gan
refund_request,tas rusak pas pengiriman minta refund penuh ya
shipping_information,pengiriman JNE ke Pontianak aman ga
payment_inquiry,bayar pake BRImo bisa ga
promotions_discounts,diskon korporat untuk hari belanja nasional berapa persen
operating_hours_location,bisa chat CS di luar jam kerja ga ya
payment_inquiry,top up gagal tapi uang kepotong nih
cancellation_request,cancel kereta yg belum dipakai dong
complaint,sepatu yg saya terima baret banget
complaint,chat saya di-ignore terus sama seller ya
operating_hours_location,buka pas gajian ga untuk area Lombok
complaint,komplain soal hp yg kumal
account_data,cara setting metode bayar supaya aman
payment_inquiry,bayar pake kartu kredit bisa cicil 30% ga sob
product_service_info,info produk gamepad dong
order_status,resi GOS9384 kok belum update nih
order_status,kenapa seller belum masukin resi ya
order_status,barang udah diterima tapi di app masih otw min
operating_hours_location,buka pas anniversary ga untuk area NTT
technical_support,kenapa aplikasi ini terus error
cancellation_request,batalkan premium saya sob
operating_hours_location,outlet yg buka 24 jam di Balikpapan mana kak
complaint,pelayanan mengecewakan banget gan
product_service_info,tripod versi terbaru kapan rilis nih
shipping_information,pengiriman TIKI ke Medan aman ga
complaint,ini bukan pertama kali tas saya basah
payment_inquiry,limit pembayaran per hari berapa ya bang
cancellation_request,cancel event yg belum dipakai bang
operating_hours_location,cabang Bali buka jam berapa dong
refund_request,belum ada kabar refund udah 2 minggu sob
promotions_discounts,diskon 50% untuk earphone ada ga
complaint,service buruk banget ga recommended min
shipping_information,Grab Express tersedia di Sulawesi ga
cancellation_request,batalkan pengiriman ke alamat lama yg sudah pindah ya
cancellation_request,cancel layanan streaming yg free trial nih
promotions_discounts,promo dana untuk anniversary ada ga
refund_request,cara klaim refund laptop yang kotor
shipping_information,free ongkir berlaku buat barang di atas 10 kg ga dong
operating_hours_location,outlet Medan buka hari Jumat ga
cancellation_request,hapus orderan yg belum dibayar kak
account_data,mau nonaktifkan akun sementara bisa ga ya
shipping_information,apakah Ninja bisa same day ke Kalimantan
payment_inquiry,limit pembayaran per hari berapa ya ya
product_service_info,ada tutorial pemakaian item ini ga min
operating_hours_location,apakah ada store di Malang bang
refund_request,kondisi sepatu harus gimana biar bisa retur min
product_service_info,review harddisk dari user lain bisa liat ga
refund_request,retur makanan ongkirnya tanggungan siapa sih
cancellation_request,pengen cancel software saya nih
order_status,courier ga gerak-gerak dari 3 hari lalu dong
product_service_info,ukuran keyboard tersedia apa aja
shipping_information,estimasi pengiriman express ke Lombok berapa lama kak
payment_inquiry,bayar pake cek bisa ga gan
promotions_discounts,kode voucher diskon 50% masih berlaku ga sob
shipping_information,J&T tersedia di Kalimantan ga
promotions_discounts,cara dapetin voucher ovo deh
account_data,pin transaksi lupa gimana resetnya ya
product_service_info,ada diskon buat beli printer pertama kali sih
refund_request,proses refund laptop berapa lama sih
shipping_information,rate Ninja untuk 2 kg ke Pontianak
operating_hours_location,cabang Lombok buka jam berapa bang
shipping_information,gratis ongkir minimal belanja berapa sob
payment_inquiry,ada kesalahan nominal di tagihan
cancellation_request,minta batal karena ada info palsu dari seller bang
promotions_discounts,diskon lama untuk gajian berapa persen
operating_hours_location,jam operasional pas hari raya deh
technical_support,barcode ga kebaca pas mau bayar di kasir
shipping_information,bisa anterin pake gobox ga
complaint,ini hp rusak parah pas nyampe min
promotions_discounts,voucher harbolnas masih berlaku ga
shipping_information,berapa lama pengiriman ke pelosok Medan sob
product_service_info,spek tablet lengkap ada ga
product_service_info,ready warna lain buat mouse ga gan
refund_request,barang salah kirim minta tuker atau refund nih
payment_inquiry,transfer dari bank lain berapa lama sih
operating_hours_location,outlet di Sulawesi dimana aja
technical_support,fitur notifikasi di dana ga berfungsi
order_status,paket udah di kota saya tapi belum dikirim
operating_hours_location,ada gerai di Pekanbaru ga kak
promotions_discounts,cara dapet voucher dari rating driver
operating_hours_location,toko di Lippo Mall Yogyakarta dimana deh
shipping_information,pengiriman JNE ke Yogyakarta aman ga
shipping_information,kirim paket ke Bandung via GoSend berapa hari
cancellation_request,pengen cancel asuransi saya sob
technical_support,kenapa akun tiba-tiba ke banned deh
promotions_discounts,ada diskon besar-besaran gajian ga kak
cancellation_request,hentikan langganan gym bulan ini
order_status,brg di retur tanpa alasan jelas kenapa sih
technical_support,fitur chat di gojek ga berfungsi
account_data,cara ubah tanggal lahir di akun saya
operating_hours_location,libur nasional toko buka ga
product_service_info,kulkas aman buat ibu hamil ga dong
account_data,akun saya kenapa tidak bisa diakses gan
product_service_info,ini monitor buat pemula bisa ga kak
product_service_info,spesifikasi flash disk gimana ya min
complaint,makanan basi pas di delivery ini gimana gan
account_data,verifikasi nomor HP gagal ini gimana
payment_inquiry,ada tulisan transaksi declined kenapa bang
payment_inquiry,cicilan bulan ini belum muncul sob
operating_hours_location,buka pas natal ga untuk area Pekanbaru
complaint,produk ga sesuai sama foto dan deskripsi gan
promotions_discounts,brand day tanggal berapa dong
refund_request,cara klaim refund item yang kumal
shipping_information,Grab Express ke Semarang berapa hari reguler
product_service_info,spesifikasi monitor gimana ya kak
product_service_info,ada tutorial pemakaian meja kerja ga dong
technical_support,tidak bisa update foto profil deh
technical_support,cara fix crash di shopee
account_data,bisa daftar tanpa nomor telepon ga kak
account_data,akun saya kenapa tiba-tiba di-suspend
product_service_info,berapa berat hp ini ya gan
payment_inquiry,kelebihan bayar bisa di refund ga ya
cancellation_request,cancel layanan streaming yg free trial bang
cancellation_request,cancel konser yg belum dipakai nih
refund_request,proses refund produk berapa lama dong
complaint,minta pertanggungjawaban atas barang baret
product_service_info,ukuran lampu ring tersedia apa aja
operating_hours_location,toko di Grand Indonesia Balikpapan dimana min
cancellation_request,cara batal pre-order flash disk yg belum rilis bang
payment_inquiry,batas pembayaran pesanan tinggal 1 jam lagi kak
refund_request,uang masih ditahan padahal paket udah diterima sob
refund_request,retur tas ongkirnya tanggungan siapa bang
refund_request,refund dong pesanannya ga sesuai deh
complaint,barang expired pas saya terima bang
operating_hours_location,jam CS untuk area Kalimantan berapa
account_data,cara pindahin akun dari hp lama ke baru
shipping_information,cara hitung ongkir gabungan gimana dong
account_data,verifikasi nomor telepon gagal
order_status,udah 7 minggu barang ga nyampe gan
